	DepSM	Tv290C	Potemp090C	Sal00	Density00	FlECO-AFL	TurbWETntu0	Par/sat/log	SbeopoxML/L	SbeopoxMg/L	WetCDOM	Ph
	7.400	27.5629	27.5612	33.7457	1021.6252	0.4031	1.7011	1.1978e+02	4.399	6.287	-0.6334	8.935
	7.200	27.5634	27.5617	33.7449	1021.6236	0.4669	1.7732	1.3230e+02	4.399	6.287	-0.6328	8.937
	7.000	27.5654	27.5638	33.7430	1021.6206	0.4399	1.7063	1.1007e+02	4.399	6.287	-0.6281	8.936
	6.800	27.5667	27.5651	33.7423	1021.6188	0.3872	1.7071	1.1994e+02	4.396	6.282	-0.6338	8.937
	6.600	27.5671	27.5656	33.7419	1021.6176	0.3887	1.7071	1.2845e+02	4.392	6.276	-0.6484	8.937
	6.400	27.5674	27.5659	33.7417	1021.6164	0.3940	1.7071	1.4696e+02	4.392	6.276	-0.6561	8.935
	6.200	27.5672	27.5658	33.7406	1021.6148	0.4135	1.6389	1.6749e+02	4.392	6.276	-0.6577	8.938
	6.000	27.5677	27.5663	33.7340	1021.6088	0.4091	1.6563	1.3644e+02	4.392	6.276	-0.6500	8.939
	5.800	27.5685	27.5671	33.7408	1021.6128	0.4118	1.7281	1.5482e+02	4.392	6.276	-0.6524	8.936
	5.600	27.5686	27.5673	33.7410	1021.6121	0.4488	1.7580	1.6762e+02	4.391	6.276	-0.6433	8.936
	5.400	27.5685	27.5672	33.7408	1021.6110	0.4091	1.8220	1.6131e+02	4.391	6.276	-0.6240	8.935
	5.200	27.5671	27.5658	33.7425	1021.6119	0.4304	1.6723	1.8276e+02	4.404	6.293	-0.6419	8.939
	5.000	27.5678	27.5667	33.7411	1021.6098	0.3911	1.6510	1.8939e+02	4.403	6.292	-0.6636	8.936
	4.800	27.5669	27.5657	33.7422	1021.6100	0.4056	1.7827	1.8623e+02	4.402	6.292	-0.6466	8.937
	4.600	27.5665	27.5655	33.7421	1021.6092	0.3912	1.7628	2.0614e+02	4.402	6.292	-0.6108	8.937
	4.400	27.5655	27.5645	33.7430	1021.6093	0.3968	1.6277	2.2890e+02	4.402	6.291	-0.6286	8.939
	4.200	27.5653	27.5644	33.7447	1021.6098	0.3964	1.8149	2.4945e+02	4.402	6.291	-0.6186	8.937
	4.000	27.5667	27.5658	33.7434	1021.6075	0.4051	1.6617	1.9870e+02	4.402	6.291	-0.6601	8.937
	3.800	27.5681	27.5672	33.7380	1021.6021	0.4004	1.6697	3.0135e+02	4.402	6.291	-0.6521	8.937
	3.600	27.5686	27.5678	33.7293	1021.5946	0.3703	1.6915	3.4295e+02	4.402	6.291	-0.6623	8.939
	3.400	27.5691	27.5683	33.7417	1021.6029	0.4177	2.2988	2.4963e+02	4.402	6.291	-0.6520	8.937
	3.200	27.5691	27.5684	33.7403	1021.6010	0.3949	2.1624	2.4029e+02	4.402	6.291	-0.6415	8.936
	3.000	27.5687	27.5680	33.7243	1021.5883	0.4499	1.7268	2.7962e+02	4.402	6.291	-0.6252	8.937
	2.800	27.5709	27.5702	33.7450	1021.6022	0.4163	1.6826	2.5305e+02	4.402	6.290	-0.6824	8.937
	2.600	27.5739	27.5733	33.7415	1021.5977	0.4137	1.7346	2.8218e+02	4.402	6.290	-0.6833	8.937
	2.400	27.5746	27.5741	33.7398	1021.5954	0.3890	1.6023	3.2378e+02	4.402	6.291	-0.6891	8.939
	2.200	27.5746	27.5741	33.7382	1021.5933	0.4115	1.6537	3.5726e+02	4.403	6.293	-0.6265	8.939
	2.000	27.5743	27.5739	33.7392	1021.5933	0.4132	1.7940	4.8875e+02	4.405	6.295	-0.6302	8.938
	1.800	27.5747	27.5742	33.7361	1021.5900	0.3968	1.6882	3.9447e+02	4.405	6.295	-0.6378	8.936
	1.600	27.5753	27.5749	33.7422	1021.5935	0.4033	1.7214	3.8879e+02	4.405	6.295	-0.6388	8.938
	1.400	27.5750	27.5747	33.7454	1021.5952	0.4783	2.0021	3.4059e+02	4.405	6.295	-0.6377	8.938
	1.200	27.5742	27.5740	33.7121	1021.5695	0.4616	2.0055	3.7276e+02	4.406	6.296	-0.6203	8.939
	1.000	27.5732	27.5730	33.7535	1021.6001	0.3342	1.6115	4.7014e+02	4.408	6.299	-0.6530	8.936
	0.800	27.5725	27.5723	33.7515	1021.5979	0.3321	1.3499	7.2339e+02	4.424	6.322	-0.6640	8.939
	0.600	27.5740	27.5738	33.7514	1021.5965	0.3479	1.4404	6.7166e+02	4.424	6.322	-0.6602	8.938
	0.400	27.5756	27.5755	33.7527	1021.5961	0.3962	1.8419	6.0664e+02	4.424	6.322	-0.6625	8.935
	0.200	27.5774	27.5773	32.7326	1020.8278	0.3395	2.1100	5.8676e+02	4.449	6.359	-1.0203	8.937
